date,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Target
2/2/2012,12.78,94,'189.92',,14.01,2444219,14.4881,117.1941423,446.23
2/3/2012,12.78,92,'190.17',,14.05,2478141,14.6885,117.6368044,452.47
2/6/2012,12.81,90,'190.16',,14.05,2478561,14.698,117.4992482,452.57
2/7/2012,12.81,95,'190.16',,14.05,2486279,14.7435,119.1773432,453.97
2/8/2012,12.83,93,'190.16',,14.05,2502597,14.8399,118.596461,456.94
2/9/2012,12.9,94,'190.16',,14.05,2526644,14.9838,119.9344579,461.37
2/10/2012,12.9,100,'190.16',,14.05,2509222,14.8831,119.7182392,458.27
2/13/2012,12.92,98,'190.16',,14.05,2522748,14.9702,121.901948,460.95
2/14/2012,12.93,99,'190.16',,14.05,2527693,15.003,123.8390943,461.96
2/15/2012,12.83,95,'190.16',,14.05,2511591,14.9091,123.4458876,459.07
2/16/2012,12.81,91,'190.16',,14.05,2551970,15.1426,123.8139747,466.26
2/17/2012,12.81,99,'190.16',,14.05,2550497,15.1329,125.8820631,465.96
2/20/2012,12.81,94,'190.16',,14.05,2550497,,123.0056713,
2/21/2012,12.77,92,'190.16',,14.05,2561408,15.1969,120.4493022,467.93
2/22/2012,12.77,98,'190.16',,14.05,2549803,15.1296,119.3731252,465.86
2/23/2012,12.78,90,'190.16',,14.05,2558620,15.1991,118.7040163,468
2/24/2012,12.8,97,'190.16',,14.05,2573523,15.2836,120.700979,470.6
2/27/2012,12.81,98,'190.16',17,14.05,2575551,15.2998,120.4050354,471.1
2/28/2012,12.82,98,'190.16',,14.05,2597398,15.432,118.5717116,475.17
2/29/2012,12.85,96,'190.45',,14.04,2583768,15.3117,120.1180154,472.79
3/1/2012,12.84,92,'190.4',,14.05,2601307,15.4419,116.9549237,475.85
3/2/2012,12.84,98,'190.41',,14.05,2596252,15.417,117.0083473,474.94
3/5/2012,12.86,94,'190.41',,14.05,2572068,15.2683,117.1972569,470.36
3/6/2012,12.86,100,'190.41',,14.05,2544026,15.1018,117.2080812,465.23
3/7/2012,12.95,97,'190.41',,14.05,2561731,15.206,114.2290273,468.44
3/8/2012,12.95,98,'190.41',,14.05,2589401,15.3748,116.0648888,473.63
3/9/2012,12.89,100,'190.41',,14.05,2599174,15.4349,117.0872439,475.48
3/12/2012,12.94,95,'190.41',,14.05,2602601,15.4595,116.1544995,476.24
3/13/2012,12.96,90,'190.41',,14.05,2654993,15.7747,116.450269,485.95
3/14/2012,12.99,100,'190.41',,14.05,2670971,15.8737,117.5684571,489
3/15/2012,12.98,97,'190.41',,14.05,2678457,15.9182,118.4910147,490.37
3/16/2012,12.98,95,'190.41',,14.05,2678294,15.9202,120.5839776,490.43
3/19/2012,13.05,93,'190.17',,14.01,2698381,16.0616,119.5242975,494.26
3/20/2012,13.06,98,'190.17',,14.01,2694773,16.0408,120.859454,493.62
3/21/2012,13.08,93,'190.17',,14.01,2692036,16.0288,121.5495277,493.25
3/22/2012,13.07,92,'190.17',,14.01,2684045,15.9842,119.0949239,491.88
3/23/2012,13.09,98,'190.17',,14.01,2681855,15.9807,117.9551659,491.77
3/26/2012,13.09,100,'190.36',,13.98,2727395,16.2445,119.6655712,500.12
3/27/2012,13.1,94,'190.36',,13.98,2730194,16.262,121.4505556,500.66
3/28/2012,13.12,96,'190.36',,13.98,2723496,16.2237,122.028539,499.48
3/29/2012,13.11,96,'190.36',,13.98,2717313,16.1867,124.579599,498.34
3/30/2012,13.08,96,'190.46',,14.14,2707696,16.1022,127.4688008,496.57
4/2/2012,13.1,95,'194.81',,14,2737638,15.6912,127.0316534,502.11
4/3/2012,13.13,96,'194.81',,14,2734311,15.6746,127.0697938,501.58
4/4/2012,13.14,98,'194.81',,14,2696164,15.4565,130.5111785,494.6
4/5/2012,13.2,96,'194.81',,14,2708696,15.5259,130.167092,496.82
4/6/2012,13.2,95,'194.81',,14,2708696,,131.4305695,
4/9/2012,13.44,97,'194.81',,14,2689674,15.4202,137.0199347,493.44
4/10/2012,13.42,100,'194.81',,14,2651083,15.2018,137.0061935,486.45
4/11/2012,13.42,93,'194.81',,14,2662150,15.2677,139.3497385,488.56
4/12/2012,13.4,92,'194.81',,14,2697765,15.4702,138.7593164,495.04
4/13/2012,13.39,100,'194.81',,14,2654383,15.2159,140.8710098,486.9
4/16/2012,13.35,100,'194.81',,14,2624362,15.0371,142.6795809,481.18
4/17/2012,13.24,96,'194.81',,14,2684058,15.3827,147.5721381,492.24
4/18/2012,13.12,90,'194.81',,14,2664365,15.2609,150.0286412,488.34
4/19/2012,13.04,100,'194.81',,14,2632724,15.0668,148.3930954,482.13
4/20/2012,13.21,97,'194.81',,14,2620213,14.9858,149.4872861,479.54
4/23/2012,13.21,91,'194.81',,14,2602959,14.8743,153.2796104,475.97
4/24/2012,13.18,90,'194.81',,14,2586848,14.7852,155.672582,473.12
4/25/2012,13.11,90,'194.81',,14,2667626,15.2555,156.9342584,488.17
4/26/2012,13.12,94,'194.81',,14,2684422,15.3518,158.6429543,491.25
4/27/2012,13.19,97,'194.86',,14,2684403,15.3488,160.311494,491.22
4/30/2012,13.13,91,'195.38',,13.84,2662215,15.2473,157.4781546,487.02
5/1/2012,13.13,91,'195.38',,13.84,2668279,15.2817,154.486334,488.12
5/2/2012,13.08,95,'195.38',,13.84,2671867,15.3008,154.1810284,488.73
5/3/2012,13.08,98,'195.38',,13.84,2644181,15.1415,155.1391158,483.64
5/4/2012,13.07,95,'195.48',,13.84,2584661,14.8185,153.9333151,472.8
5/7/2012,13.14,96,'195.46',,13.84,2576476,14.7803,154.9073058,471.37
5/8/2012,13.17,96,'195.46',,13.84,2564655,14.7094,152.3405515,469.11
5/9/2012,13.18,90,'195.46',,13.84,2564554,14.6981,149.217163,468.75
5/10/2012,13.19,92,'195.46',,13.84,2545067,14.5874,150.5280513,465.22
5/11/2012,13.19,98,'195.46',,13.84,2542209,14.5714,150.4695116,464.71
5/14/2012,13.22,90,'195.46',,13.84,2518452,14.435,151.3154402,460.36
5/15/2012,13.23,97,'195.46',,13.84,2506828,14.3679,151.8267603,458.22
5/16/2012,13.24,91,'195.46',,13.84,2486187,14.2506,154.7747153,454.48
5/17/2012,13.22,90,'195.46',,13.84,2444283,14.0086,156.8441664,446.76
5/18/2012,13.22,95,'195.46',,13.84,2413843,13.8383,156.6234826,441.33
5/21/2012,13.24,90,'195.46',,13.84,2481478,14.229,159.3674708,453.79
5/22/2012,13.23,91,'195.46',,13.84,2474287,14.1854,160.2559252,452.4
5/23/2012,13.38,98,'195.46',,13.84,2477526,14.2111,157.7455042,453.22
5/24/2012,13.37,91,'195.46',,13.84,2456333,14.0892,155.9178411,449.33
5/25/2012,13.36,93,'194.13',88,13.92,2440142,13.9908,159.3879741,448.58
5/28/2012,13.36,98,'194.13',,13.92,2440142,,160.0074369,
5/29/2012,13.35,95,'194.13',,13.92,2474425,14.1886,159.7820005,454.92
5/30/2012,13.37,99,'194.13',,13.92,2455815,14.0844,161.4556502,451.58
5/31/2012,13.37,91,'194.34',,14.04,2440850,14.0013,161.1309144,448.8
6/1/2012,13.37,98,'194.36',,14.04,2374599,13.6199,162.3888373,436.56
6/4/2012,13.38,95,'194.36',,14.04,2385880,13.6832,162.4712169,438.59
6/5/2012,13.43,98,'194.59',,14.05,2406816,13.7776,165.1830702,441.59
6/6/2012,13.41,90,'194.59',,14.05,2468783,14.1308,166.5055794,452.91
6/7/2012,13.42,92,'194.59',,14.05,2458097,14.0712,165.405119,451
6/8/2012,13.43,92,'194.59',,14.05,2480725,14.2035,163.3462194,455.24
6/11/2012,13.44,97,'194.59',,14.05,2438142,13.9586,167.5371198,447.39
6/12/2012,13.46,99,'194.59',,14.05,2465726,14.1171,164.0670269,452.47
6/13/2012,13.49,98,'194.59',,14.05,2447738,14.0132,164.9920976,449.14
6/14/2012,13.47,91,'194.59',,14.05,2454032,14.0491,159.6662753,450.29
6/15/2012,13.45,93,'194.59',,14.05,2489386,14.2475,157.5799617,456.65
6/18/2012,13.48,99,'194.22',,14.03,2502718,14.3394,155.9462666,459.26
6/19/2012,13.44,96,'194.22',,14.03,2528782,14.4821,155.0448222,463.83
6/20/2012,13.46,92,'194.22',,14.03,2535231,14.5152,154.869594,464.89
6/21/2012,13.49,98,'194.22',,14.03,2468459,14.1314,151.7481465,452.6
6/22/2012,13.5,90,'194.22',,14.03,2498774,14.3032,150.2611565,458.1
6/25/2012,13.51,99,'194.37',,14.03,2443352,13.9828,149.8957446,447.92
6/26/2012,13.51,98,'194.37',,14.03,2447797,14.0206,148.3109223,449.13
6/27/2012,13.45,95,'194.37',,14.03,2464313,14.1139,149.2036502,452.12
6/28/2012,13.44,90,'194.37',,14.03,2437789,13.9622,151.1787957,447.26
6/29/2012,13.44,92,'194.68',,14.04,2517770,14.3903,146.4548379,462.02
7/2/2012,13.53,90,'198.99',,14.04,2534892,14.117,144.4713942,463.25
7/3/2012,13.53,97,'198.99',,14.04,2557306,14.2428,142.7837755,467.38
7/4/2012,13.53,91,'198.99',,14.04,2557306,,144.278497,
7/5/2012,13.56,93,'198.99',,14.04,2561005,14.266,142.5179659,468.14
7/6/2012,13.5,96,'198.99',,14.04,2515465,14.0106,143.4584486,459.76
7/9/2012,13.51,93,'198.99',,14.04,2508708,13.9737,144.6962096,458.55
7/10/2012,13.52,100,'198.99',,14.04,2479763,13.811,140.7206017,453.21
7/11/2012,13.53,99,'198.99',,14.04,2464946,13.7266,142.9835742,450.44
7/12/2012,13.55,91,'198.99',,14.04,2438716,13.5809,143.1186258,445.66
7/13/2012,13.55,96,'198.99',,14.04,2474547,13.7769,144.0769071,452.09
7/16/2012,13.55,90,'198.99',,14.04,2468583,13.7427,149.5301308,450.97
7/17/2012,13.5,92,'198.99',,14.04,2474459,13.7726,151.8565697,451.95
7/18/2012,13.48,99,'198.99',,14.04,2521514,14.0383,150.4238877,460.67
7/19/2012,13.46,95,'198.99',,14.04,2555211,14.2288,150.4286253,466.92
7/20/2012,13.18,90,'198.99',,14.04,2520148,14.0393,146.2640557,460.7
7/23/2012,13.2,90,'198.99',,14.04,2495655,13.9067,146.0888452,456.35
7/24/2012,13.23,94,'198.99',,14.04,2472596,13.7781,146.4605826,452.13
7/25/2012,13.2,96,'198.99',,14.04,2455205,13.6684,147.2781286,448.53
7/26/2012,13.07,96,'198.99',,14.04,2491269,13.8649,147.2059495,454.98
7/27/2012,13.08,99,'198.99',,14.04,2545508,14.174,145.2478128,464.94
7/30/2012,13.02,98,'199.08',,14.04,2545801,14.1542,147.1892304,465.04
7/31/2012,13.08,95,'199.11',,14.09,2549779,14.2958,148.9323409,466.41
8/1/2012,12.79,90,'199.11',,14.09,2540551,14.244,150.7139848,464.72
8/2/2012,12.79,94,'199.11',,14.09,2528134,14.1757,148.5145496,462.49
8/3/2012,12.77,97,'199.07',,14.05,2580133,14.4744,149.5031562,472.01
8/6/2012,12.78,96,'199.06',,14.05,2596356,14.5818,151.1874049,475.4
8/7/2012,12.76,94,'199.06',,14.05,2618629,14.7057,151.9752672,479.44
8/8/2012,12.75,97,'199.06',,14.05,2619814,14.7134,154.4203439,479.69
8/9/2012,12.68,97,'199.06',,14.05,2625649,14.7548,152.0503211,481.04
8/10/2012,12.68,96,'199.06',,14.05,2630518,14.7818,153.4500045,481.92
8/13/2012,12.67,100,'199.06',,14.05,2637829,14.8247,151.6211945,483.32
8/14/2012,12.68,94,'199.06',,14.05,2630978,14.7858,150.6958598,482.05
8/15/2012,12.68,100,'199.06',,14.05,2633709,14.8005,149.1949796,482.53
8/16/2012,12.64,99,'199.06',,14.05,2674220,15.0287,148.882167,489.97
8/17/2012,12.66,93,'199.06',,14.05,2691805,15.1284,143.996481,493.22
8/20/2012,13.01,90,'199.06',,14.05,2698928,15.1741,145.5659262,494.71
8/21/2012,13.01,98,'199.06',,14.05,2681807,15.0775,145.0593233,491.56
8/22/2012,13.08,91,'199.06',,14.05,2687710,15.1164,148.6037808,492.83
8/23/2012,13.09,92,'198.96',,14.04,2662108,14.9805,147.4641603,488.1
8/24/2012,13.09,94,'198.96',,14.04,2673846,15.0471,145.6562024,490.27
8/27/2012,13.11,100,'198.96',,14.04,2679164,15.0784,146.6744784,491.29
8/28/2012,13.12,93,'198.96',32.9,14.04,2675305,15.0575,145.9150081,490.61
8/29/2012,13.12,96,'198.96',,14.04,2679307,15.0814,146.2866212,491.39
8/30/2012,13.12,91,'198.92',,14.05,2644138,14.8933,144.0366203,484.96
8/31/2012,13.11,100,'199.04',,13.97,2665328,14.9957,141.2092825,488.78
9/3/2012,13.11,96,'199.04',,13.97,2665328,,142.0804293,
9/4/2012,13.13,100,'199.04',,13.97,2664102,14.9914,142.6261326,488.64
9/5/2012,13.12,97,'199.04',,13.97,2661129,14.9721,142.3401256,488.01
9/6/2012,13.1,91,'199.01',,13.97,2724993,15.3305,144.1010346,499.72
9/7/2012,13.13,99,'199.01',,13.97,2721704,15.3133,143.6992527,499.16
9/10/2012,13.11,92,'199.01',,13.97,2685599,15.1081,144.6344393,492.47
9/11/2012,13.09,95,'199.01',,13.97,2690911,15.1378,145.6683975,493.44
9/12/2012,13.14,92,'199.01',,13.97,2700978,15.2041,146.4956884,495.6
9/13/2012,13.15,98,'199.01',,13.97,2739932,15.4253,148.3585634,502.81
9/14/2012,13.16,96,'199.01',,13.97,2763565,15.5578,146.6531337,507.13
9/17/2012,13.18,96,'199.01',,13.97,2762741,15.5633,147.6750001,507.31
9/18/2012,13.21,99,'199.01',,13.97,2762339,15.5621,150.645019,507.27
9/19/2012,13.08,91,'199.01',,13.97,2762082,15.5618,150.8610211,507.26
9/20/2012,13.08,95,'199.01',,13.97,2755963,15.5268,150.7073841,506.12
9/21/2012,13.06,97,'199.01',,13.97,2757810,15.5376,150.369667,506.47
9/24/2012,11.99,95,'198.12',,13.85,2734641,15.4454,150.7867383,502.22
9/25/2012,11.96,90,'198.12',,13.85,2692354,15.2086,147.9266001,494.52
9/26/2012,11.96,95,'198.12',,13.85,2669905,15.0837,147.6091592,490.46
9/27/2012,11.95,96,'198.12',,13.85,2711379,15.3205,148.0836768,498.16
9/28/2012,11.97,97,'198.38',,13.88,2692144,15.1583,151.5942961,494.54
10/1/2012,11.97,99,'199.96',,13.82,2685696,15.1109,153.051917,493.6
10/2/2012,11.97,97,'199.96',,13.82,2688115,15.1237,154.0612092,494.02
10/3/2012,12.01,92,'199.96',,13.82,2700049,15.1929,153.6969463,496.28
10/4/2012,11.71,100,'199.96',,13.82,2703278,15.2113,155.3252584,496.88
10/5/2012,11.7,99,'199.96',,13.82,2685001,15.109,156.9397281,493.54
10/8/2012,11.67,100,'199.96',,13.82,2657013,14.948,156.2773467,488.28
10/9/2012,11.69,92,'199.96',,13.82,2621326,14.749,163.9313696,481.78
10/10/2012,11.73,90,'199.96',,13.82,2610598,14.6896,164.7518758,479.84
10/11/2012,11.7,100,'199.96',,13.82,2603668,14.6471,165.8388006,478.45
10/12/2012,11.7,92,'199.96',,13.82,2608260,14.6694,169.8882691,479.18
10/15/2012,11.67,94,'199.96',,13.82,2625879,14.7683,168.1998626,482.41
10/16/2012,11.87,99,'199.96',,13.82,2666816,15.0013,167.7339543,490.02
10/17/2012,11.81,90,'199.96',,13.82,2644906,14.881,167.0398484,486.09
10/18/2012,11.86,96,'199.96',,13.82,2606726,14.6538,164.3626018,478.67
10/19/2012,11.79,93,'199.96',,13.82,2546492,14.3137,165.2328114,467.56
10/22/2012,11.82,93,'199.96',,13.82,2570254,14.4496,164.1672068,472
10/23/2012,11.88,94,'199.96',,13.82,2535720,14.2681,163.146967,466.07
10/24/2012,11.87,94,'199.96',,13.82,2520352,14.1811,162.5794111,463.23
10/25/2012,11.82,90,'199.96',,13.82,2516656,14.1594,163.3628894,462.52
10/26/2012,11.63,92,'199.96',,13.82,2521903,14.1867,163.8856421,463.27
10/29/2012,11.75,93,'200.07',,13.83,2521668,,163.4566446,
10/30/2012,11.75,95,'200.07',,13.83,2521668,,163.0480114,
10/31/2012,10.67,92,'199.57',,13.83,2509290,14.1995,164.3458212,460.85
11/1/2012,10.63,97,'199.57',,13.83,2554588,14.4565,168.064626,469.19
11/2/2012,10.6,94,'199.42',,13.85,2517150,14.2633,168.7695463,462.21
11/5/2012,10.56,94,'199.41',,13.85,2532347,14.3516,168.6507411,465.05
11/6/2012,10.46,97,'199.41',,13.85,2550103,14.4423,170.4718359,467.99
11/7/2012,10.57,96,'199.41',,13.85,2478257,14.0343,172.5906801,454.77
11/8/2012,10.49,93,'199.41',,13.85,2443119,13.8328,172.4551803,448.24
11/9/2012,10.56,92,'199.41',,13.85,2456654,13.9134,166.1089754,450.85
11/12/2012,10.62,100,'199.41',,13.85,2447856,13.8649,164.0182593,449.28
11/13/2012,10.62,92,'199.41',,13.85,2428179,13.7566,162.5508229,445.77
11/14/2012,10.68,96,'199.41',,13.85,2404076,13.6217,163.7362489,441.4
11/15/2012,10.63,93,'199.41',,13.85,2394202,13.5622,167.7701543,439.47
11/16/2012,10.63,94,'199.41',,13.85,2402668,13.6051,164.7178243,440.86
11/19/2012,10.72,97,'199.41',,13.85,2468994,13.9883,167.6790487,453.28
11/20/2012,10.77,93,'199.41',,13.85,2454595,13.9022,164.8736438,450.49
11/21/2012,10.76,94,'199.41',,13.85,2464740,13.9572,165.3277219,452.27
11/22/2012,10.76,95,'199.41',,13.85,2464740,,160.0629104,
11/23/2012,10.74,90,'199.4',,13.85,2505166,14.1842,162.5613668,459.66
11/26/2012,10.77,99,'199.4',,13.85,2520922,14.2756,160.8514727,462.62
11/27/2012,10.87,99,'199.4',,13.85,2510180,14.2138,164.9320272,460.62
11/28/2012,13.49,98,'199.4',,13.85,2526210,14.3027,165.3498549,463.5
11/29/2012,13.49,98,'199.34',,13.86,2536307,14.3686,165.1724167,465.45
11/30/2012,13.49,91,'199.54',,14.11,2530796,14.3044,160.9287874,464.39
12/3/2012,13.49,92,'199.54',,14.11,2526248,14.2779,158.7961594,463.53
12/4/2012,13.47,96,'199.54',,14.11,2523696,14.2619,158.0657998,463.01
12/5/2012,13.4,94,'199.54',,14.11,2492539,14.0793,157.4104134,457.08
12/6/2012,13.39,97,'199.54',,14.11,2512347,14.1963,159.5062661,460.88
12/7/2012,13.35,92,'199.54',,14.11,2496483,14.1058,160.4553009,457.94
12/10/2012,13.33,90,'199.54',,14.11,2505618,14.1526,161.2896924,459.46
12/11/2012,13.34,93,'199.54',,14.11,2540763,14.3519,162.6695676,465.93
12/12/2012,13.31,96,'199.54',,14.11,2529499,14.2893,163.046245,463.9
12/13/2012,13.3,91,'199.54',,14.11,2511108,14.1852,163.374157,460.52
12/14/2012,13.26,95,'199.54',,14.11,2485855,14.0371,164.1291367,455.71
12/17/2012,13.3,91,'199.54',,14.11,2520014,14.2317,169.792765,462.03
12/18/2012,13.32,93,'199.54',,14.11,2561994,14.4701,169.8644776,469.77
12/19/2012,12.62,97,'199.54',,14.11,2552608,14.411,170.2041216,467.85
12/20/2012,12.6,95,'199.54',,14.11,2557112,14.4341,168.2798522,468.6
12/21/2012,12.61,98,'199.54',,14.11,2531852,14.3075,167.9675207,464.49
12/24/2012,12.64,92,'199.23',,14.06,2522274,14.2675,170.9976357,462.73
12/25/2012,12.64,96,'199.23',,14.06,2522274,,168.7138876,
12/26/2012,12.62,99,'199.23',,14.06,2506352,14.1772,168.2629788,459.8
12/27/2012,12.63,95,'199.23',,14.06,2503469,14.163,163.6151511,459.34
12/28/2012,12.64,100,'199.69',,13.98,2474535,13.9865,165.9513096,454.02
12/31/2012,12.66,92,'202.93',,14.05,2526916,14.2009,165.7527861,463.82
1/1/2013,12.66,94,'202.93',,14.05,2526916,,165.8673935,
1/2/2013,12.62,96,'202.93',,14.05,2606922,14.6477,166.5727513,478.41
1/3/2013,12.47,99,'202.93',,14.05,2587655,14.5402,168.8798156,474.9
1/4/2013,12.45,91,'202.93',,14.05,2573788,14.4594,167.3744115,472.26
1/7/2013,12.44,94,'202.93',,14.05,2568024,14.4269,170.0054355,471.2
1/8/2013,12.42,99,'202.93',,14.05,2560577,14.3905,172.5359947,470.01
1/9/2013,12.43,95,'202.93',,14.05,2566762,14.4235,173.3929632,471.09
1/10/2013,12.42,97,'202.93',,14.05,2580231,14.501,172.4134315,473.62
1/11/2013,12.42,99,'202.93',,14.05,2587750,14.5417,174.7173432,474.95
1/14/2013,12.29,94,'202.93',,14.05,2569929,14.4349,173.0441662,471.46
1/15/2013,12.26,93,'202.93',,14.05,2556969,14.3577,170.7311072,468.94
1/16/2013,12.3,94,'202.93',,14.05,2574796,14.4639,170.4401145,472.41
1/17/2013,12.29,94,'202.93',,14.05,2583485,14.5114,171.6495173,473.96
1/18/2013,12.29,94,'202.93',,14.05,2575791,14.4633,172.1826876,472.39
1/21/2013,12.29,94,'202.93',,14.05,2575791,,171.725807,
1/22/2013,12.28,92,'202.93',,14.05,2579784,14.4866,168.6107222,473.15
1/23/2013,12.31,96,'202.93',,14.05,2611142,14.6651,168.1130395,478.98
1/24/2013,12.05,93,'202.93',,14.05,2561078,14.3687,165.2621362,469.3
1/25/2013,12.04,95,'202.94',,14.11,2564341,14.3823,165.8992508,469.85
1/28/2013,12.06,94,'203.01',,14.07,2569694,14.4103,167.1951335,471.09
1/29/2013,12.02,100,'203.01',,14.07,2568441,14.4073,167.276114,470.99
1/30/2013,12.02,95,'203.01',,14.07,2563281,14.3748,168.2739329,469.93
1/31/2013,12.03,90,'203.4',,14.18,2565261,14.3529,171.976399,470.05
2/1/2013,12.03,92,'203.18',,14.16,2595068,14.5401,171.484975,475.43
2/4/2013,12.01,92,'203.17',,14.16,2552891,14.3069,170.85708,467.79
2/5/2013,12.03,100,'203.17',,14.16,2588377,14.51,169.1892557,474.43
2/6/2013,11.9,93,'203.17',,14.16,2583880,14.4882,172.3469345,473.72
2/7/2013,11.91,99,'203.18',,14.16,2582565,14.4842,173.4600766,473.61
2/8/2013,11.91,94,'203.18',,14.16,2609168,14.6344,175.189232,478.52
2/11/2013,11.91,91,'203.18',,14.16,2612077,14.65,175.0527576,479.03
2/12/2013,11.89,95,'203.18',,14.16,2600554,14.5811,179.4057279,476.78
2/13/2013,11.88,94,'203.18',,14.16,2600571,14.583,180.7403755,476.84
2/14/2013,11.88,96,'203.18',,14.16,2602785,14.5945,179.2584407,477.26
2/15/2013,11.9,94,'203.18',,14.16,2599872,14.5774,178.7502049,476.7
2/18/2013,11.9,93,'203.18',,14.16,2599872,,179.155617,
2/19/2013,11.9,95,'203.18',,14.16,2613477,14.6566,176.8441493,479.29
2/20/2013,11.9,97,'203.18',,14.16,2573430,14.4318,177.0714428,471.94
2/21/2013,11.89,90,'203.18',,14.16,2550023,14.3025,175.8424461,467.71
2/22/2013,12.06,98,'203.18',,14.16,2581531,14.4804,180.4345896,473.53
2/25/2013,12.06,100,'203.18',,14.16,2539573,14.2487,186.2894313,465.95
2/26/2013,12.05,96,'203.18',,14.16,2551982,14.3383,186.9377258,468.88
2/27/2013,12.06,100,'203.18',,14.16,2574079,14.4639,185.0581916,472.99
2/28/2013,12.05,90,'203.29',,14.17,2567821,14.4072,180.597813,471.86
3/1/2013,11.99,100,'203.29',,14.17,2571057,14.4309,180.2119383,472.32
3/4/2013,11.98,94,'203.29',,14.17,2575276,14.4602,184.8180522,473.28
3/5/2013,12.26,91,'203.29',,14.17,2613114,14.6759,181.6865348,480.34
3/6/2013,12.23,92,'203.29',,14.17,2612652,14.6722,185.0780966,480.22
3/7/2013,12.25,90,'203.29',,14.17,2619168,14.7117,185.4120092,481.51
3/8/2013,12.25,90,'203.29',,14.17,2621899,14.7288,186.7477355,482.07
3/11/2013,12.24,93,'203.29',,14.17,2630030,14.7764,184.6128623,483.63
3/12/2013,12.2,97,'203.29',,14.17,2615151,14.6927,178.6174052,480.89
3/13/2013,12.17,95,'203.29',,14.17,2615017,14.6912,180.2545976,480.84
3/14/2013,12.16,99,'203.29',,14.17,2634461,14.7978,182.670477,484.33
3/15/2013,12.17,90,'203.29',,14.17,2628505,14.766,184.5289874,483.29
3/18/2013,12.31,97,'203.06',,14.15,2626095,14.7793,185.6207804,482.95
3/19/2013,12.3,97,'203.06',,14.15,2620352,14.7472,188.9547279,481.9
3/20/2013,12.22,98,'203.06',,14.15,2636561,14.8381,187.4269149,484.87
3/21/2013,12.24,90,'203.06',,14.15,2599556,14.6441,191.0198123,478.53
3/22/2013,12.22,92,'203.06',,14.15,2614992,14.739,190.4772032,481.63
3/25/2013,12.19,96,'203.06',,14.15,2606424,14.6952,190.4619258,480.2
3/26/2013,12.18,94,'203.06',,14.15,2624221,14.7943,186.9665165,483.44
3/27/2013,12.16,92,'203.06',,14.15,2617697,14.7539,186.2646413,482.12
3/28/2013,12.15,90,'203.06',,14.15,2625677,14.7913,185.4329095,483.34
3/29/2013,12.15,96,'203.13',,14.13,2625677,,187.7807997,
4/1/2013,12.1,95,'205.36',,14.07,2601337,14.6216,188.1366704,478.66
4/2/2013,12.11,94,'205.36',,14.07,2613409,14.6878,193.3906339,480.83
4/3/2013,12.11,94,'205.36',,14.07,2592404,14.5712,191.5970592,477.01
4/4/2013,12.12,94,'205.36',,14.07,2586829,14.5382,196.5378961,475.93
4/5/2013,12.12,98,'205.36',,14.07,2562228,14.3973,196.0494546,471.32
4/8/2013,12.13,95,'205.36',,14.07,2571155,14.4471,190.5088566,472.95
4/9/2013,12.08,93,'205.36',,14.07,2592878,14.5635,189.8919936,476.76
4/10/2013,12.09,90,'205.36',,14.07,2640376,14.8308,195.3911189,485.51
4/11/2013,12.23,98,'205.36',,14.07,2627033,14.7584,193.4769883,483.14
4/12/2013,12.22,100,'205.36',,14.07,2611600,14.6717,194.1948376,480.3
4/15/2013,12.39,92,'205.36',,14.07,2564302,14.4041,194.2340774,471.54
